Filename, Has_Form, Links_To
account_category_manager.php, YES, account_setting_sidebar.php|add_account_category_manager.php|delete_account_category_manager.php|edit_account_category_manager.php|footer.php|header.php|sidebar.php
account_report.php, YES, account_setting_sidebar.php|add_income.php|footer.php|header.php|sidebar.php
account_setting.php, YES, account_setting_sidebar.php|footer.php|header.php|sidebar.php
add_account_category_manager.php, YES, account_category_manager.php|account_setting_sidebar.php|add_account_category_manager.php|footer.php|header.php|sidebar.php
add_allocate_section.php, YES, add_allocate_section.php|allocate_section.php|footer.php|header.php|school_setting_school_setting_sidebar.php|sidebar.php
add_allocate_stream.php, YES, add_allocate_stream.php|allocate_stream.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
add_allocate_subject.php, YES, add_allocate_subject.php|ajax_stream_code1.php|allocate_subject.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
add_category.php, YES, footer.php|header.php|sidebar.php
add_class.php, YES, add_class.php|class.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
add_expense.php, YES, account_setting_sidebar.php|expense_manager.php|footer.php|header.php|sidebar.php
add_fees_package.php, YES, add_fees_package.php|fees_package.php|footer.php|header.php|sidebar.php
add_income.php, YES, account_setting_sidebar.php|footer.php|header.php|income_manager.php|sidebar.php
add_new_staff_detail.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
add_school_detail.php, YES, add_school_detail.php|footer.php|header.php|school_detail.php|school_setting_sidebar.php|sidebar.php
add_section.php, YES, add_section.php|footer.php|header.php|school_setting_sidebar.php|section.php|sidebar.php
add_staff_category.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_category.php
add_staff_department.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_department.php
add_staff_position.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_position.php
add_staff_qualification.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_qualification.php
add_stream.php, YES, add_stream.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
add_student_fees.php, YES, add_student_fees.php|checkregno.php|fees_manager.php|fees_reciept_byterm.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
add_student_transport_fees.php, YES, add_student_transport_fees.php|checkregno.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_fees.php|transport_fees_reciept_byterm.php
add_sub_category.php, YES, footer.php|header.php|sidebar.php
add_subject.php, YES, add_subject.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php|subject.php
add_term.php, YES, add_term.php|footer.php|header.php|sidebar.php|term_manager.php
admission.php, YES, entry_student_tc.php|footer.php|header.php|rte_admission.php|rte_student_detail.php|sidebar.php|student_detail.php
ajaxcode.php, NO, 
ajax_fees_code.php, NO, inc.php
ajax_stream_code1.php, NO, inc.php
ajax_stream_code2.php, NO, ajax_stream_code2.php|inc.php
ajax_stream_code.php, NO, inc.php
ajax_transport_fees_code.php, NO, inc.php
allocate_section.php, YES, add_allocate_section.php|delete_allocate_section.php|edit_allocate_section.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
allocate_stream.php, YES, add_allocate_stream.php|delete_allocate_stream.php|edit_allocate_stream.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
allocate_subject.php, YES, add_allocate_subject.php|delete_allocate_subject.php|edit_allocate_subject.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
Attendance.php, YES, footer.php|header.php|sidebar.php
category.php, YES, add_category.php|footer.php|header.php|sidebar.php
change_password.php, YES, footer.php|header.php|sidebar.php
checkbookno.php, NO, checkbookno.php|inc.php
checkregno.php, NO, checkregno.php|inc.php
class.php, YES, add_class.php|delete_class.php|edit_class.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
cp_dt_03.php, NO, footer.php|header.php|sidebar.php
daily_report.php, YES, account_setting_sidebar.php|ajax_exam_date.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|footer.php|header.php|print_daily_report.php|sidebar.php
dashboard.php, YES, account_setting.php|admission.php|entry_student_tc.php|exam_setting.php|fees_setting.php|footer.php|header.php|library_setting.php|rte_student_detail.php|school_setting.php|sidebar.php|staff_setting.php|student_detail.php|transport_setting.php
db_connect.php, NO, 
delete_account_category_manager.php, NO, account_category_manager.php|inc.php
delete_admission.php, NO, inc.php|student_detail.php
delete_allocate_section.php, NO, allocate_section.php|inc.php
delete_allocate_stream.php, NO, allocate_stream.php|inc.php
delete_allocate_subject.php, NO, allocate_subject.php|inc.php
delete_class.php, NO, class.php|inc.php
delete_expense.php, NO, expense_manager.php|inc.php
delete_fees_package.php, NO, fees_package.php|inc.php
delete_income.php, NO, income_manager.php|inc.php
delete_school_detail.php, NO, inc.php|school_detail.php
delete_section.php, NO, inc.php|section.php
delete_staff_category.php, NO, inc.php|view_staff_category.php
delete_staff_department.php, NO, inc.php|view_staff_department.php
delete_staff.php, NO, inc.php|view_staff.php
delete_staff_position.php, NO, inc.php|view_staff_position.php
delete_staff_qualification.php, NO, inc.php|view_staff_qualification.php
delete_stream.php, NO, inc.php|stream.php
delete_student_fees.php, NO, fees_manager.php|inc.php
delete_student_transport_fees.php, NO, inc.php|student_transport_fees.php
delete_subject.php, NO, inc.php|subject.php
delete_term.php, NO, inc.php|term_manager.php
demo_dashboard.php, YES, demo_dashboard.php|logout.php
demo.php, YES, change_piture.php|footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
edit_account_category_manager.php, YES, account_category_manager.php|account_setting_sidebar.php|edit_account_category_manager.php|footer.php|header.php|sidebar.php
edit_allocate_section.php, YES, allocate_section.php|edit_allocate_section.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
edit_allocate_stream.php, YES, allocate_stream.php|edit_allocate_stream.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
edit_allocate_subject.php, YES, allocate_subject.php|edit_allocate_subject.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
edit_class.php, YES, class.php|edit_class.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php
edit_expense.php, YES, account_setting_sidebar.php|edit_expense.php|expense_manager.php|footer.php|header.php|sidebar.php
edit_fees_package.php, YES, edit_fees_package.php|fees_package.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
edit_income.php, YES, account_setting_sidebar.php|edit_income.php|footer.php|header.php|income_manager.php|sidebar.php
edit_school_detail.php, YES, footer.php|header.php|school_detail.php|school_setting_sidebar.php|sidebar.php
edit_section.php, YES, edit_section.php|footer.php|header.php|school_setting_sidebar.php|section.php|sidebar.php
edit_staf_employee_detail.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php
edit_staff_category.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_category.php
edit_staff_department.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_department.php
edit_staff_position.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_position.php
edit_staff_qualification.php, YES, footer.php|header.php|inc.php|sidebar.php|staff_setting_sidebar.php|view_staff_qualification.php
edit_stream.php, YES, edit_stream.php|footer.php|header.php|school_setting_sidebar.php|sidebar.php|stream.php
edit_student_fees11.php, NO, 
edit_student_fees.php, YES, checkregno.php|edit_student_fees.php|fees_manager.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
edit_student_transport_fees.php, YES, checkregno.php|edit_student_transport_fees.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_fees.php
edit_subject.php, YES, footer.php|header.php|school_setting_sidebar.php|sidebar.php|subject.php
edit_term.php, YES, edit_term.php|footer.php|header.php|sidebar.php|term_manager.php
employee_profile.php, YES, category.php|change_piture.php|footer.php|header.php|sidebar.php
entry_account_report.php, YES, account_report.php|account_setting_sidebar.php|ajax_exam_date.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
entry_add_max_marks.php, YES, ajax_exam_date.php|ajax_stream_code1.php|exam_add_maximum_marks.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
entry_add_student_transport_fees.php, YES, add_student_fees.php|add_student_transport_fees.php|ajax_stream_code1.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_fees.php|transport_student_detail.php
entry_exam_add_student_marks.php, YES, ajax_exam_date.php|checkregno.php|exam_add_maximum_marks.php|exam_marks_add_student.php|exam_searchby_name.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
entry_exam_marksheet1.php, YES, ajax_exam_date.php|ajax_stream_code2.php|exam_add_maximum_marks.php|exam_final_marksheet.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
entry_exam_marksheet.php, YES, ajax_exam_date.php|checkregno.php|exam_add_maximum_marks.php|exam_final_marksheet.php|exam_marksheet_searchby_name.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
entry_fees_reciept1.php, YES, ajax_exam_date.php|ajax_stream_code2.php|fees_reciept_byterm.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_fees.php
entry_fees_reciept.php, YES, ajax_exam_date.php|checkregno.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|fees_reciept.php|fees_reciept_searchby_name.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
entry_student_fees.php, YES, add_student_fees.php|checkregno.php|fees_manager.php|fees_searchby_name.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php
entry_student_fine_detail.php, YES, add_student_fees.php|checkregno.php|fees_manager.php|footer.php|header.php|library_setting_sidebar.php|sidebar.php|student_fine_detail1.php|student_fine_detail_seach_by_name.php
entry_student_pending_fees.php, YES, ajax_stream_code.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_pending_fees_detail.php
entry_student_tc.php, YES, ajax_exam_date.php|checkregno.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php|student_tc.php|student_tc_search_by_name.php
entry_student_transport_fees.php, YES, add_student_fees.php|add_student_transport_fees.php|checkregno.php|fees_manager.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|transport_fees_searchby_name.php
entry_transport_add_student.php, YES, ajax_exam_date.php|checkregno.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php|transport_add_student.php|transport_searchby_name.php|transport_setting_sidebar.php
entry_transport_fees_reciept1.php, YES, ajax_exam_date.php|ajax_stream_code2.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_fees.php|transport_fees_reciept_byterm.php
entry_transport_fees_reciept.php, YES, ajax_exam_date.php|checkregno.php|exam_add_maximum_marks.php|exam_show_maximum_marks.php|fees_setting_sidebar.php|footer.php|header.php|sidebar.php|student_transport_fees.php|transport_fees_reciept.php|transport_fees_reciept_searchby_name.php
exam_add_maximum_marks.php, YES, ajax_exam_date.php|ajax_stream_code2.php|entry_add_max_marks.php|exam_add_maximum_marks.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
exam_date.php, YES, ajax_exam_date.php|ajax_stream_code1.php|exam_date.php|exam_setting_sidebar.php|footer.php|header.php|sidebar.php
exam_edit_maximum_marks.php, YES, exam_add_maximum_marks.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
exam_edit_time_table.php, YES, ajax_exam_date.php|exam_setting_sidebar.php|exam_time_table_detail.php|footer.php|header.php|sidebar.php
exam_final_marksheet.php, NO, entry_exam_marksheet.php|inc.php|marksheet.php
exam_marks_add_student.php, YES, ajax_stream_code2.php|checkregno.php|exam_marks_add_student.php|exam_setting_sidebar.php|exam_show_maximum_marks.php|footer.php|header.php|sidebar.php
